12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
105300;105310;105300;105310;114240;114340;114230;114340;112460;112510;112390;112410;111950;111990;111940;111990
105270;105270;105200;105230;114340;114340;114270;114280;112410;112460;112400;112410;111990;112000;111920;111930
105250;105250;105240;105250;114270;114300;114270;114300;112430;112450;112390;112430;111940;112000;111910;111970
105200;105200;105130;105160;114290;114330;114270;114270;112420;112550;112420;112510;111960;112040;111950;112040
105140;105140;105030;105030;114270;114310;114220;114280;112520;112560;112520;112540;112040;112100;112020;112080
105050;105060;105000;105010;114280;114400;114280;114360;112530;112560;112500;112500;112080;112130;112070;112120
105030;105060;105020;105050;114360;114460;114350;114420;112500;112510;112450;112480;112120;112150;112030;112060
105030;105040;105010;105030;114430;114470;114370;114410;112480;112510;112470;112480;112050;112110;112050;112110
105040;105070;105040;105050;114420;114430;114400;114410;112470;112500;112420;112420;112090;112150;112080;112140
105070;105070;105070;105070;114420;114470;114390;114460;112420;112480;112420;112460;112150;112250;112150;112150
105070;105070;105070;105070;114460;114470;114410;114420;112460;112490;112370;112390;112170;112280;112150;112280
105070;105070;105060;105060;114410;114430;114310;114340;112390;112450;112370;112440;112280;112390;112260;112370
105050;105050;104980;104980;114330;114350;114200;114230;112430;112450;112400;112400;112390;112390;112310;112310
104980;105020;104980;105020;114230;114240;114130;114180;112390;112440;112350;112400;112310;112330;112260;112280
105040;105040;105040;105040;114170;114210;114150;114210;112390;112390;112340;112350;112270;112340;112220;112330
105030;105030;104990;104990;114210;114320;114200;114320;112340;112350;112270;112320;112330;112420;112310;112400
104970;104970;104950;104970;114320;114320;114240;114290;112340;112370;112250;112280;112390;112440;112370;112390
104970;104980;104970;104980;114280;114320;114260;114300;112270;112330;112270;112310;112390;112410;112360;112360
104970;104970;104970;104970;114320;114360;114270;114350;112310;112340;112270;112290;112370;112380;112330;112380
104940;104950;104930;104930;114350;114360;114310;114320;112300;112320;112250;112290;112380;112380;112320;112350
104930;104960;104930;104940;114320;114350;114280;114290;112280;112330;112260;112330;112340;112340;112290;112310
104950;105000;104950;105000;114280;114290;114220;114250;112320;112350;112290;112290;112320;112320;112220;112300
104930;104930;104800;104840;114250;114280;114180;114190;112290;112350;112280;112340;112300;112390;112290;112330
104850;104880;104850;104880;114200;114230;114160;114170;112330;112360;112310;112360;112320;112350;112270;112270
104890;104900;104840;104840;114180;114220;114140;114150;112360;112360;112300;112330;112270;112320;112260;112320
104840;104880;104840;104870;114150;114270;114150;114260;112330;112400;112320;112370;112310;112330;112260;112300
104900;104920;104880;104880;114280;114340;114280;114300;112380;112400;112350;112370;112300;112300;112230;112260
104880;104890;104880;104890;114290;114350;114290;114320;112360;112380;112350;112380;112260;112340;112260;112340
104920;104950;104920;104950;114320;114450;114310;114430;112380;112400;112370;112370;112330;112350;112240;112330
104960;104970;104950;104960;114430;114440;114370;114380;112370;112370;112310;112330;112330;112480;112330;112420
104950;104960;104940;104960;114390;114390;114330;114360;112340;112350;112280;112290;112420;112460;112410;112450
105000;105000;105000;105000;114370;114410;114350;114380;112280;112280;112210;112270;112450;112550;112440;112510
105010;105010;104990;104990;114380;114480;114380;114440;112270;112290;112150;112180;112510;112610;112480;112530
105040;105040;105030;105030;114450;114650;114410;114610;112190;112200;112100;112120;112530;112570;112510;112550
105000;105000;105000;105000;114620;114680;114580;114630;112130;112200;112120;112200;112540;112630;112500;112600
